No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,3,4,5,6,7,8,9,10,Sum
141, (0.00),D,Lewis,MCI, 4.5 ,,,,, 0.48 , 0.25 , 0.39 , 0.32 , 0.49 , 0.46 , 0.51 , 0.51 , 3.42 
142, (0.01),D,Hughes,HUL, 4.0 ,,,,, -   , -   , -   , 0.34 , 0.53 , 0.92 , 1.28 , 0.85 , 3.92 
143, 0.01 ,D,Chavarria,CHE, 5.0 ,,,,, 0.67 , 1.12 , 0.65 , 0.83 , 0.74 , 0.79 , 0.81 , 0.82 , 6.43 
144, (0.01),D,De Fougerolles,FUL, 4.0 ,,,,, 0.09 , 0.06 , 0.08 , 0.08 , 0.12 , 0.09 , 0.09 , 0.09 , 0.68 
145, 0.00 ,D,O'Brien,EVE, 4.9 ,,,,, 0.50 , 0.49 , 0.78 , 0.93 , 0.72 , 0.66 , 0.80 , 1.12 , 6.00 
146, (0.01),D,Milosavljevic,BOU, 5.0 ,,,,, -   , 0.01 , 0.11 , 0.23 , 0.36 , 0.29 , 0.42 , 0.42 , 1.85 
147, (0.01),D,O'Nien,SUN, 4.0 ,,,,, 0.21 , 0.15 , 0.14 , 0.23 , 0.23 , 0.29 , 0.26 , 0.22 , 1.72 
148, (0.01),D,Kipre,IPS, 4.0 ,,,,, 0.22 , 0.28 , 0.31 , 0.45 , 0.29 , 0.52 , 0.70 , 0.62 , 3.41 
149, (0.00),D,Ahanor,CPL, 4.5 ,,,,, 0.16 , 0.30 , 0.54 , 0.74 , 0.59 , 0.76 , 0.68 , 0.65 , 4.41 
150, (0.02),D,Bradley,LIV, 5.0 ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
151, 0.00 ,D,Tete,FUL, 4.5 ,,,,, 0.50 , 0.37 , 0.55 , 0.74 , 1.01 , 0.86 , 0.71 , 0.87 , 5.61 
152, (0.01),D,Vitor Reis,MCI, 4.5 ,,,,, 0.16 , 0.10 , 0.14 , 0.10 , 0.16 , 0.14 , 0.17 , 0.15 , 1.13 
153, (0.01),D,Braithwaite,MCI, 4.0 ,,,,, 0.10 , 0.06 , 0.07 , 0.04 , 0.12 , 0.10 , 0.12 , 0.11 , 0.72 
154, (0.01),D,Leoni,LIV, 4.0 ,,,,, -   , -   , -   , 0.06 , 0.14 , 0.21 , 0.22 , 0.30 , 0.93 
155, (0.01),D,Tosin,TOT, 4.5 ,,,,, 0.12 , 0.17 , 0.19 , 0.22 , 0.34 , 0.28 , 0.37 , 0.40 , 2.08 
156, (0.00),D,J.Cuenca,FUL, 4.5 ,,,,, 0.32 , 0.31 , 0.46 , 0.63 , 0.86 , 0.87 , 0.60 , 0.80 , 4.84 
157, (0.01),D,Kesler-Hayden,COV, 4.0 ,,,,, -   , -   , 0.13 , 0.33 , 0.33 , 0.44 , 0.48 , 0.39 , 2.10 
158, (0.01),D,Affengruber,FUL, 4.5 ,,,,, 0.11 , 0.13 , 0.26 , 0.40 , 0.46 , 0.48 , 0.44 , 0.54 , 2.83 
159, (0.01),D,Johnson,IPS, 4.0 ,,,,, 0.04 , 0.04 , 0.04 , 0.04 , 0.02 , 0.04 , 0.05 , 0.04 , 0.31 
160, (0.01),D,Soler,BOU, 4.0 ,,,,, 0.11 , 0.17 , 0.18 , 0.18 , 0.27 , 0.20 , 0.27 , 0.25 , 1.63 
161, (0.01),D,J.Araujo,BOU, 4.5 ,,,,, -   , 0.01 , 0.01 , 0.02 , 0.07 , 0.08 , 0.14 , 0.12 , 0.45 
162, (0.01),D,Shahar,NEW, 4.0 ,,,,, 0.08 , 0.01 , 0.01 , 0.06 , 0.06 , 0.06 , 0.07 , 0.08 , 0.43 
163, (0.01),D,McCarthy,HUL, 4.0 ,,,,, 0.02 , 0.01 , 0.01 , 0.02 , 0.03 , 0.03 , 0.04 , 0.02 , 0.18 
164, (0.01),D,McNair,HUL, 4.0 ,,,,, 0.13 , 0.11 , 0.19 , 0.23 , 0.18 , 0.19 , 0.21 , 0.14 , 1.38 
165, (0.01),D,Chilwell,CPL, 4.5 ,,,,, 0.15 , 0.24 , 0.36 , 0.46 , 0.39 , 0.47 , 0.45 , 0.44 , 2.95 
166, 0.00 ,D,Bard,LEE, 4.5 ,,,,, 0.60 , 0.75 , 0.60 , 0.49 , 0.60 , 0.78 , 0.65 , 0.73 , 5.19 
167, 0.00 ,D,Ruggeri,AVL, 4.5 ,,,,, 0.66 , 0.66 , 0.61 , 0.74 , 0.69 , 0.61 , 0.93 , 0.64 , 5.53 
168, (0.01),D,Bidwell,COV, 4.0 ,,,,, 0.06 , 0.06 , 0.07 , 0.07 , 0.09 , 0.12 , 0.11 , 0.11 , 0.70 
169, (0.01),D,Coppola,BRI, 4.5 ,,,,, -   , 0.01 , 0.01 , 0.01 , 0.02 , 0.01 , 0.01 , 0.01 , 0.08 
170, (0.01),D,Latibeaudiere,COV, 4.0 ,,,,, 0.10 , 0.16 , 0.17 , 0.18 , 0.22 , 0.26 , 0.29 , 0.25 , 1.64 
171, (0.01),D,Lienou,LEE, 4.0 ,,,,, 0.03 , 0.04 , 0.01 , 0.03 , 0.04 , 0.06 , 0.01 , 0.05 , 0.28 
172, (0.01),D,Svoboda,BRI, 5.0 ,,,,, -   , 0.04 , 0.07 , 0.10 , 0.13 , 0.09 , 0.11 , 0.14 , 0.68 
173, (0.01),D,Ji-soo,BRE, 4.5 ,,,,, -   , 0.05 , 0.07 , 0.06 , 0.04 , 0.01 , 0.05 , 0.01 , 0.30 
174, (0.01),D,Anselmino,CHE, 4.5 ,,,,, 0.06 , 0.09 , 0.10 , 0.12 , 0.11 , 0.15 , 0.12 , 0.15 , 0.91 
175, (0.01),D,Schuster,BRE, 4.5 ,,,,, 0.20 , 0.26 , 0.35 , 0.30 , 0.12 , 0.14 , 0.18 , 0.17 , 1.72 
176, (0.01),D,A.Garcia,AVL, 4.0 ,,,,, -   , 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.04 
177, (0.01),D,Woolfenden,COV, 4.0 ,,,,, -   , 0.03 , 0.09 , 0.19 , 0.23 , 0.32 , 0.33 , 0.32 , 1.52 
178, (0.01),D,A.Murphy,NEW, 4.0 ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
179, (0.01),D,M.Sarr,CHE, 4.5 ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
180, (0.02),D,Chalobah,CHE, 5.5 ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
181, (1.00),D,Zabarnyi,BOU,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
182, (1.00),D,Sousa,AVL,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
183, (1.00),D,Meupiyou,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
184, (1.00),D,Reguilon,TOT,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
185, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
186, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
187, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
188, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
189, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
190, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
191, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
192, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
193, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
194, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
195, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
196, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
197, (1.00),D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
198, -   ,D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
199, -   ,D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
200, -   ,D,0,,  ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,
1, 0.35 ,GK,Raya,ARS, 6.0 ,,,,, 3.95 , 4.29 , 3.87 , 4.26 , 3.98 , 4.23 , 3.39 , 4.51 , 32.48 
2, 0.32 ,GK,Martinez,CHE, 5.0 ,,,,, 3.11 , 4.34 , 3.40 , 3.78 , 3.58 , 3.57 , 3.34 , 3.71 , 28.82 
3, 0.28 ,GK,A.Becker,LIV, 5.5 ,,,,, 3.76 , 3.95 , 3.36 , 3.15 , 3.27 , 3.55 , 3.13 , 3.46 , 27.63 
4, 0.32 ,GK,Kelleher,BRE, 5.0 ,,,,, 4.11 , 3.42 , 3.34 , 3.38 , 3.15 , 3.89 , 3.68 , 3.19 , 28.16 
5, 0.31 ,GK,Donnarumma,MCI, 5.5 ,,,,, 4.17 , 3.19 , 4.07 , 3.05 , 3.98 , 3.52 , 3.63 , 3.58 , 29.18 
6, 0.28 ,GK,Lammens,MUN, 5.0 ,,,,, 3.53 , 3.14 , 3.59 , 3.51 , 3.41 , 3.53 , 2.96 , 3.54 , 27.21 
7, 0.26 ,GK,Pickford,EVE, 5.5 ,,,,, 3.35 , 3.30 , 3.86 , 3.81 , 3.18 , 2.85 , 3.12 , 3.79 , 27.26 
8, 0.30 ,GK,Verbruggen,BRI, 4.5 ,,,,, 3.66 , 3.59 , 3.06 , 3.48 , 3.61 , 2.78 , 2.69 , 3.30 , 26.16 
9, 0.29 ,GK,Suzuki,AVL, 5.0 ,,,,, 3.91 , 3.67 , 3.22 , 3.38 , 3.13 , 2.94 , 3.65 , 2.84 , 26.73 
10, 0.30 ,GK,Kinsky,TOT, 4.5 ,,,,, 3.36 , 3.65 , 3.47 , 2.87 , 3.72 , 2.78 , 3.49 , 3.10 , 26.43 
11, 0.26 ,GK,Trafford,LEE, 5.0 ,,,,, 3.24 , 3.45 , 3.64 , 2.87 , 3.14 , 3.45 , 3.15 , 3.33 , 26.27 
12, 0.30 ,GK,Leno,FUL, 4.5 ,,,,, 3.71 , 2.93 , 3.12 , 3.39 , 3.92 , 3.36 , 3.09 , 3.22 , 26.73 
13, 0.27 ,GK,Sels,NOT, 5.0 ,,,,, 3.54 , 3.23 , 3.81 , 3.32 , 3.03 , 3.40 , 3.03 , 2.85 , 26.21 
14, 0.30 ,GK,Hornicek,NEW, 5.0 ,,,,, 3.48 , 3.27 , 4.01 , 3.46 , 3.44 , 3.30 , 3.49 , 3.28 , 27.73 
15, 0.23 ,GK,Roefs,SUN, 5.0 ,,,,, 3.16 , 3.09 , 2.89 , 3.35 , 3.14 , 3.45 , 3.41 , 3.09 , 25.59 
16, 0.25 ,GK,Henderson,CPL, 5.0 ,,,,, 3.30 , 3.64 , 3.15 , 3.41 , 2.96 , 3.12 , 2.98 , 2.85 , 25.42 
17, 0.23 ,GK,Tzolakis,HUL, 4.6 ,,,,, 3.33 , 2.84 , 2.96 , 3.30 , 3.11 , 3.02 , 3.35 , 2.54 , 24.44 
18, 0.23 ,GK,Rushworth,COV, 4.5 ,,,,, 2.85 , 3.18 , 3.10 , 3.12 , 2.90 , 3.39 , 3.42 , 3.01 , 24.98 
19, 0.24 ,GK,Scherpen,IPS, 4.5 ,,,,, 2.99 , 3.14 , 3.08 , 3.36 , 2.72 , 3.23 , 3.35 , 2.99 , 24.86 
20, 0.24 ,GK,Petrovic,BOU, 4.5 ,,,,, 3.20 , 3.27 , 2.95 , 2.80 , 3.48 , 2.72 , 3.15 , 3.03 , 24.60 
21, (0.19),GK,Di Gregorio,BOU, 4.5 ,,,,, 0.09 , 0.17 , 0.17 , 0.23 , 0.34 , 0.29 , 0.41 , 0.39 , 2.09 
22, (0.20),GK,Penders,CHE, 4.5 ,,,,, 0.02 , 0.09 , 0.07 , 0.09 , 0.11 , 0.18 , 0.15 , 0.16 , 0.88 
