No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,3,4,5,6,7,8,9,10,Sum
44, 0.17 ,D,Kerkez,LIV, 5.5 ,,,,, 3.33 , 3.51 , 2.69 , 2.29 , 2.45 , 2.93 , 2.16 , 2.72 , 22.06 
45, 0.20 ,D,Mendy,HUL, 4.0 ,,,,, 3.08 , 2.09 , 2.61 , 3.28 , 2.84 , 2.89 , 3.22 , 1.85 , 21.87 
46, 0.24 ,D,F.Kadioglu,BRI, 4.4 ,,,,, 3.66 , 3.50 , 2.34 , 3.01 , 3.21 , 1.80 , 1.61 , 2.64 , 21.76 
47, 0.08 ,D,Lindelof,AVL, 4.5 ,,,,, 2.67 , 1.88 , 1.53 , 1.70 , 1.55 , 1.36 , 2.12 , 1.27 , 14.08 
48, 0.18 ,D,Mykolenko,EVE, 4.5 ,,,,, 2.60 , 2.63 , 3.43 , 3.38 , 2.31 , 1.75 , 2.32 , 3.45 , 21.87 
49, 0.18 ,D,Maguire,MUN, 5.0 ,,,,, 3.75 , 2.83 , 2.98 , 2.58 , 2.49 , 2.54 , 1.88 , 2.58 , 21.63 
50, 0.20 ,D,Pau,AVL, 4.5 ,,,,, 3.60 , 3.13 , 2.44 , 2.74 , 2.30 , 1.98 , 3.01 , 1.84 , 21.07 
51, 0.11 ,D,Dalot,MUN, 5.0 ,,,,, 2.62 , 2.13 , 2.60 , 2.75 , 2.49 , 2.73 , 1.84 , 2.71 , 19.87 
52, 0.20 ,D,Bassey,FUL, 4.5 ,,,,, 3.48 , 2.01 , 2.46 , 2.91 , 3.73 , 3.01 , 2.42 , 2.64 , 22.67 
53, 0.13 ,D,Dunk,BRI, 4.5 ,,,,, 3.01 , 2.82 , 1.94 , 2.49 , 2.57 , 1.58 , 1.41 , 2.21 , 18.04 
54, 0.14 ,D,Shaw,MUN, 4.5 ,,,,, 2.61 , 2.24 , 2.84 , 2.91 , 2.65 , 2.96 , 1.88 , 2.81 , 20.90 
55, 0.23 ,D,Jacquet,LIV, 5.0 ,,,,, 3.66 , 3.70 , 3.03 , 2.51 , 2.86 , 3.10 , 2.50 , 3.01 , 24.37 
56, 0.17 ,D,Castagne,FUL, 4.5 ,,,,, 3.19 , 1.85 , 2.27 , 2.70 , 3.46 , 2.76 , 2.19 , 2.45 , 20.87 
57, 0.14 ,D,Khusanov,MCI, 5.5 ,,,,, 3.54 , 1.98 , 2.93 , 1.92 , 2.88 , 2.29 , 2.55 , 2.43 , 20.53 
58, 0.16 ,D,Davis,IPS, 4.0 ,,,,, 2.19 , 2.64 , 2.54 , 3.16 , 1.37 , 2.95 , 3.32 , 2.79 , 20.95 
59, 0.14 ,D,Amenda,COV, 4.0 ,,,,, 1.76 , 2.77 , 2.55 , 2.60 , 2.27 , 2.86 , 3.12 , 2.43 , 20.36 
60, 0.12 ,D,Gudmundsson,LEE, 4.5 ,,,,, 0.58 , 2.13 , 3.34 , 1.75 , 2.48 , 2.92 , 2.42 , 2.83 , 18.46 
61, 0.17 ,D,Bogle,LEE, 4.5 ,,,,, 2.65 , 3.10 , 3.34 , 1.73 , 2.50 , 2.98 , 2.44 , 2.79 , 21.53 
62, 0.17 ,D,Diop,IPS, 4.0 ,,,,, 2.34 , 2.76 , 2.68 , 3.03 , 1.61 , 2.89 , 3.24 , 2.72 , 21.28 
63, 0.13 ,D,Ballard,SUN, 5.0 ,,,,, 2.99 , 2.45 , 1.83 , 2.73 , 2.48 , 2.90 , 2.91 , 2.16 , 20.47 
64, 0.18 ,D,Egan,HUL, 4.0 ,,,,, 3.18 , 2.01 , 2.46 , 3.02 , 2.54 , 2.54 , 2.85 , 1.63 , 20.23 
65, 0.28 ,D,Calafiori,ARS, 5.7 ,,,,, 3.83 , 3.94 , 3.29 , 3.69 , 3.21 , 3.53 , 2.38 , 3.81 , 27.69 
66, 0.15 ,D,Ajayi,HUL, 4.1 ,,,,, 3.05 , 1.92 , 2.35 , 2.85 , 2.41 , 2.42 , 2.74 , 1.46 , 19.20 
67, 0.20 ,D,O'Shea,IPS, 4.0 ,,,,, 2.44 , 2.82 , 2.84 , 3.23 , 1.78 , 3.10 , 3.44 , 2.94 , 22.59 
68, 0.18 ,D,White,ARS, 5.5 ,,,,, 3.70 , 3.77 , 2.70 , 2.36 , 1.94 , 1.87 , 1.39 , 2.02 , 19.75 
69, 0.15 ,D,Thomas,COV, 4.0 ,,,,, 1.92 , 2.85 , 2.63 , 2.71 , 2.29 , 2.82 , 3.10 , 2.50 , 20.82 
70, 0.11 ,D,Dasilva,COV, 4.0 ,,,,, 1.34 , 2.53 , 2.22 , 2.36 , 1.91 , 2.61 , 2.83 , 2.04 , 17.84 
71, 0.01 ,D,Van den Berg,BRE, 4.9 ,,,,, -   , -   , -   , 0.94 , 1.47 , 2.76 , 2.50 , 2.34 , 10.01 
72, 0.12 ,D,van Ewijk,COV, 4.0 ,,,,, 1.52 , 2.60 , 2.40 , 2.55 , 2.06 , 2.83 , 3.01 , 2.27 , 19.22 
73, 0.07 ,D,Gusto,CHE, 5.0 ,,,,, 1.44 , 2.64 , 1.66 , 2.09 , 1.92 , 2.06 , 1.84 , 2.12 , 15.76 
